ID,Title,First author,Authors,Year,Journal,Volume,Issue,Pages,PubMed ID,DOI,Study design,No. of Biomarkers,No. of Intake values,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Cancer associations
101,Biomarkers for intake of dairy fat and dairy products,Biong,"Biong, A. S.; Berstad, P.; Pedersen, J. I.",2006,Eur J Lipid Sci Tech,108,10,827-834,,10.1002/ejlt.200600044,Observation,6,12,21,0,142,0,0
102,Biomarker validation of a long-chain omega-3 polyunsaturated fatty acid food frequency questionnaire,Sullivan,"Sullivan, B. L.; Williams, P. G.; Meyer, B. J.",2006,Lipids,41,9,845-850,17152921,,Observation,5,4,8,0,8,0,0
103,Evaluation of urinary iodine excretion as a biomarker for intake of milk and dairy products in pregnant women in the Norwegian Mother and Child Cohort Study (MoBa),Brantsaeter,"Brantsaeter, A. L.; Haugen, M.; Julshamn, K.; Alexander, J.; Meltzer, H. M.",2009,Eur J Clin Nutr,63,3,347-354,18059417,10.1038/sj.ejcn.1602952,Observation,1,11,2,0,6,0,0
104,Evaluating associations between Mediterranean diet adherence indexes and biomarkers of diet and disease,Bach-Faig,"Bach-Faig, A.; Geleva, D.; Carrasco, J.; Ribas-Barba, L.; Serra-Majem, L.",2006,Public Health Nutr,9,8A,1110-1117,17378949,10.1017/S1368980007668499,Observation,6,0,64,0,16,0,0
105,Plasma phylloquinone (vitamin K1) concentration and its relationship to intake in British adults aged 19–64 years,Thane,"Thane, C. W.; Wang, L. Y.; Coward, W. A.",2006,Br J Nutr,96,6,1116-1124,17181887,,Observation,1,0,3,0,6,0,0
106,Development of a food frequency questionnaire for the assessment of quercetin and naringenin intake,Ranka,"Ranka, S.; Gee, J. M.; Biro, L.; Brett, G.; Saha, S.; Kroon, P.; Skinner, J.; Hart, A. R.; Cassidy, A.; Rhodes, M.; Johnson, I. T.",2008,Eur J Clin Nutr,62,9,1131-1138,17538531,10.1038/sj.ejcn.1602827,Observation,2,3,2,0,2,0,0
107,Carotenoid and tocopherol estimates from the NCI diet history questionnaire are valid compared with multiple recalls and serum biomarkers,Dixon,"Dixon, L. B.; Subar, A. F.; Wideroff, L.; Thompson, F. E.; Kahle, L. L.; Potischman, N.",2006,J Nutr,136,12,3054-3061,17116719,,Observation,8,40,14,0,132,0,0
108,"Validity of protein, retinol, folic acid and n–3 fatty acid intakes estimated from the food-frequency questionnaire used in the Danish National Birth Cohort",Mikkelsen,"Mikkelsen, T. B.; Osler, M.; Olsen, S. F.",2006,Public Health Nutr,9,6,771-778,16925883,,Observation,5,26,4,0,16,0,0
109,Urinary flavonoids and phenolic acids as biomarkers of intake for polyphenol-rich foods,Mennen,"Mennen, L. I.; Sapinho, D.; Ito, H.; Bertrais, S.; Galan, P.; Hercberg, S.; Scalbert, A.",2006,Br J Nutr,96,1,191-198,16870009,,Observation,15,24,34,0,331,0,0
110,Exploration of different methods to assess dietary acrylamide exposure in pregnant women participating in the Norwegian Mother and Child Cohort Study (MoBa),Brantsaeter,"Brantsaeter, A. L.; Haugen, M.; Mul, A. d.; Bjellaas, T.; Becher, G.; Klaveren, J. V.; Alexander, J.; Meltzer, H. M.",2008,Food Chem Toxicol,46,8,2808-2814,18599176,10.1016/j.fct.2008.05.020,Observation,3,2,1,0,4,0,0
111,Plasma carotenoids as biomarkers of intake of fruits and vegetables: individual-level correlations in the European Prospective Investigation into Cancer and Nutrition (EPIC),Al-Delaimy,"Al-Delaimy, W. K.; Ferrari, P.; Slimani, N.; Pala, V.; Johansson, I.; Nilsson, S.; Mattisson, I.; Wirfalt, E.; Galasso, R.; Palli, D.; Vineis, P.; Tumino, R.; Dorronsoro, M.; Pera, G.; Ocke, M. C.; Bueno-de-Mesquita, H. B.; Overvad, K.; Chirlaque, M.; Trichopoulou, A.; Naska, A.; Tjonneland, A.; Olsen, A.; Lund, E.; Alsaker, E. H.; Barricarte, A.; Kesse, E.; Boutron-Ruault, M. C.; Clavel-Chapelon, F.; Key, T. J.; Spencer, E.; Bingham, S.; Welch, A. A.; Sanchez-Perez, M. J.; Nagel, G.; Linseisen, J.; Quiros, J. R.; Peeters, P. H.; van Gils, C. H.; Boeing, H.; van Kappel, A. L.; Steghens, J. P.; Riboli, E.",2005,Eur J Clin Nutr,59,12,1387-1396,16160702,10.1038/sj.ejcn.1602252,Observation,7,0,14,0,115,0,0
112,Validity and reliability of a new food frequency questionnaire compared to 24 h recalls and biochemical measurements: pilot phase of Golestan cohort study of esophageal cancer,Malekshah,"Malekshah, A. F.; Kimiagar, M.; Saadatian-Elahi, M.; Pourshams, A.; Nouraie, M.; Goglani, G.; Hoshiarrad, A.; Sadatsafavi, M.; Golestan, B.; Yoonesi, A.; Rakhshani, N.; Fahimi, S.; Nasrollahzadeh, D.; Salahi, R.; Ghafarpour, A.; Semnani, S.; Steghens, J. P.; Abnet, C. C.; Kamangar, F.; Dawsey, S. M.; Brennan, P.; Boffetta, P.; Malekzadeh, R.",2006,Eur J Clin Nutr,60,8,971-977,16465196,10.1038/sj.ejcn.1602407,Observation,10,24,14,0,40,0,0
113,Fatty acid composition of habitual omnivore and vegetarian diets,Mann,"Mann, N.; Pirotta, Y.; O'Connell, S.; Li, D.; Kelly, F.; Sinclair, A.",2006,Lipids,41,7,637-646,17069347,,Observation,19,84,72,0,8,0,0
114,Home use of margarine is an important determinant of plasma trans fatty acid status: a biomarker study,Skeaff,"Skeaff, C. M.; Gowans, S.",2006,Br J Nutr,96,2,377-383,16923234,,Observation,25,20,48,0,9,0,0
115,Assessment of carotenoid status and the relation to glycaemic control in type I diabetics: a follow-up study,Granado-Lorencio,"Granado-Lorencio, F.; Olmedilla-Alonso, B.; Blanco-Navarro, I.; Botella-Romero, F.; Simal-Anton, A.",2006,Eur J Clin Nutr,60,8,1000-1008,16452910,10.1038/sj.ejcn.1602411,Observation,6,12,6,0,12,0,0
116,Validity and systematic error in measuring carotenoid consumption with dietary self-report instruments,Natarajan,"Natarajan, L.; Flatt, S. W.; Sun, X.; Gamst, A. C.; Major, J. M.; Rock, C. L.; Al-Delaimy, W.; Thomson, C. A.; Newman, V. A.; Pierce, J. P.",2006,Am J Epidemiol,163,8,770-778,16524958,10.1093/aje/kwj082,Observation,6,8,2,0,8,0,0
117,Intake frequency of fish and serum levels of long-chain n-3 fatty acids: a cross-sectional study within the Japan Collaborative Cohort Study,Wakai,"Wakai, K.; Ito, Y.; Kojima, M.; Tokudome, S.; Ozasa, K.; Inaba, Y.; Yagyu, K.; Tamakoshi, A.",2005,J Epidemiol,15,6,211-218,16276030,,Observation,4,0,6,0,18,0,0
118,Fasting whole blood as a biomarker of essential fatty acid intake in epidemiologic studies: comparison with adipose tissue and plasma,Baylin,"Baylin, A.; Kim, M. K.; Donovan-Palmer, A.; Siles, X.; Dougherty, L.; Tocco, P.; Campos, H.",2005,Am J Epidemiol,162,4,373-381,16014782,10.1093/aje/kwi213,Observation,40,41,117,0,75,0,0
119,"Evaluation of three dietary assessment methods and serum biomarkers as measures of fruit and vegetable intake, using the method of triads",Andersen,"Andersen, L. F.; Veierod, M. B.; Johansson, L.; Sakhi, A.; Solvoll, K.; Drevon, C. A.",2005,Br J Nutr,93,4,519-527,15946415,,Observation,5,6,5,0,45,0,0
120,Evaluation of the odd fatty acids 15:0 and 17:0 in serum and adipose tissue as markers of intake of milk and dairy fat,Brevik,"Brevik, A.; Veierod, M. B.; Drevon, C. A.; Andersen, L. F.",2005,Eur J Clin Nutr,59,12,1417-1422,16118654,10.1038/sj.ejcn.1602256,Observation,3,20,4,0,24,0,0
121,Validation of a food-frequency questionnaire assessment of carotenoid and vitamin E intake using weighed food records and plasma biomarkers: the method of triads model,McNaughton,"McNaughton, S. A.; Marks, G. C.; Gaffney, P.; Williams, G.; Green, A.",2005,Eur J Clin Nutr,59,2,211-218,15483635,10.1038/sj.ejcn.1602060,Observation,7,22,7,0,18,0,0
122,"Plasma carotenoid levels in Dutch men and women, and the relation with vegetable and fruit consumption",Jansen,"Jansen, M. C.; Van Kappel, A. L.; Ocke, M. C.; Van 't Veer, P.; Boshuizen, H. C.; Riboli, E.; Bueno-de-Mesquita, H. B.",2004,Eur J Clin Nutr,58,10,1386-1395,15054421,10.1038/sj.ejcn.1601981,Observation,9,8,16,0,88,0,0
123,Assessment of a dietary questionnaire in cancer patients receiving cytotoxic chemotherapy,Meyerhardt,"Meyerhardt, J. A.; Heseltine, D.; Campos, H.; Holmes, M. D.; Willett, W. C.; Winer, E. P.; Enzinger, P. C.; Bunnell, C. A.; Kulke, M. H.; Fuchs, C. S.",2005,J Clin Oncol,23,33,8453-8460,16293876,10.1200/JCO.2005.02.5460,Observation,27,2,5,0,49,0,0
124,A semiquantitative food frequency questionnaire is a valid indicator of the usual intake of phytoestrogens by south Asian women in the UK relative to multiple 24-h dietary recalls and multiple plasma samples,Bhakta,"Bhakta, D.; dos Santos Silva, I.; Higgins, C.; Sevak, L.; Kassam-Khamis, T.; Mangtani, P.; Adlercreutz, H.; McMichael, A.",2005,J Nutr,135,1,116-123,15623842,,Observation,3,6,3,0,6,0,0
125,"Dietary evaluation and attenuation of relative risk: multiple comparisons between blood and urinary biomarkers, food frequency, and 24-hour recall questionnaires: the DEARR study",Shai,"Shai, I.; Rosner, B. A.; Shahar, D. R.; Vardi, H.; Azrad, A. B.; Kanfi, A.; Schwarzfuchs, D.; Fraser, D.",2005,J Nutr,135,3,573-579,15735096,,Observation,4,30,3,0,28,0,0
126,Phytoestrogen concentrations in serum and spot urine as biomarkers for dietary phytoestrogen intake and their relation to breast cancer risk in European prospective investigation of cancer and nutrition-norfolk,Grace,"Grace, P. B.; Taylor, J. I.; Low, Y. L.; Luben, R. N.; Mulligan, A. A.; Botting, N. P.; Dowsett, M.; Welch, A. A.; Khaw, K. T.; Wareham, N. J.; Day, N. E.; Bingham, S. A.",2004,Cancer Epidemiol Biomarkers Prev,13,5,698-708,15159299,,Nested case-control study,9,3,14,0,72,0,14
127,"Reproducibility, validity, and responsiveness to change of a short questionnaire for measuring fruit and vegetable intake",Bogers,"Bogers, R. P.; Van Assema, P.; Kester, A. D.; Westerterp, K. R.; Dagnelie, P. C.",2004,Am J Epidemiol,159,9,900-909,15105183,,Observation,7,8,14,0,28,0,0
128,Plasma concentrations of (n-3) highly unsaturated fatty acids are good biomarkers of relative dietary fatty acid intakes: a cross-sectional study,Kuriki,"Kuriki, K.; Nagaya, T.; Tokudome, Y.; Imaeda, N.; Fujiwara, N.; Sato, J.; Goto, C.; Ikeda, M.; Maki, S.; Tajima, K.; Tokudome, S.",2003,J Nutr,133,11,3643-3650,14608088,,Observation,16,70,66,0,66,0,0
129,Phenolic acid metabolites as biomarkers for tea- and coffee-derived polyphenol exposure in human subjects,Hodgson,"Hodgson, J. M.; Chan, S. Y.; Puddey, I. B.; Devine, A.; Wattanapenpaiboon, N.; Wahlqvist, M. L.; Lukito, W.; Burke, V.; Ward, N. C.; Prince, R. L.; Croft, K. D.",2004,Br J Nutr,91,2,301-306,14756917,10.1079/BJN20031046,Observation,2,4,4,0,4,0,0
130,"Reasonable estimates of serum vitamin E, vitamin C, and beta-cryptoxanthin are obtained with a food frequency questionnaire in older black and white adults",Tangney,"Tangney, C. C.; Bienias, J. L.; Evans, D. A.; Morris, M. C.",2004,J Nutr,134,4,927-934,15051849,,Observation,10,208,80,0,176,0,0
131,Comparison of adipose tissue fatty acids with dietary fatty acids as measured by 24-hour recall and food frequency questionnaire in Black and White Adventists: the Adventist Health Study,Knutsen,"Knutsen, S. F.; Fraser, G. E.; Beeson, W. L.; Lindsted, K. D.; Shavlik, D. J.",2003,Ann Epidemiol,13,2,119-127,12559671,,Observation,16,80,28,0,68,0,0
132,Can the EPIC food-frequency questionnaire be used in adolescent populations?,Lietz,"Lietz, G.; Barton, K. L.; Longbottom, P. J.; Anderson, A. S.",2002,Public Health Nutr,5,6,783-789,12570886,10.1079/PHN2002344,Observation,2,4,2,0,4,0,0
133,Frequent intake of tropical fruits that are rich in beta-cryptoxanthin is associated with higher plasma beta-cryptoxanthin concentrations in Costa Rican adolescents,Irwig,"Irwig, M. S.; El-Sohemy, A.; Baylin, A.; Rifai, N.; Campos, H.",2002,J Nutr,132,10,3161-3167,12368412,,Observation,9,16,18,0,62,0,0
134,Adipose tissue biomarkers of fatty acid intake,Baylin,"Baylin, A.; Kabagambe, E. K.; Siles, X.; Campos, H.",2002,Am J Clin Nutr,76,4,750-757,12324287,,Observation,42,76,41,0,320,0,0
135,Plasma phylloquinone (vitamin K1) concentration and its relationship to intake in a national sample of British elderly people,Thane,"Thane, C. W.; Bates, C. J.; Shearer, M. J.; Unadkat, N.; Harrington, D. J.; Paul, A. A.; Prentice, A.; Bolton-Smith, C.",2002,Br J Nutr,87,6,615-622,12067432,10.1079/BJNBJN2002582,Observation,1,0,3,0,2,0,0
136,Intake of lignans is associated with serum enterolactone concentration in Finnish men and women,Kilkkinen,"Kilkkinen, A.; Valsta, L. M.; Virtamo, J.; Stumpf, K.; Adlercreutz, H.; Pietinen, P.",2003,J Nutr,133,6,1830-1833,12771325,,Observation,1,20,2,0,5,0,0
137,Erythrocyte cell membrane phospholipid levels compared against reported dietary intakes of polyunsaturated fatty acids in pregnant Mexican women,Parra,"Parra, M. S.; Schnaas, L.; Meydani, M.; Perroni, E.; Martinez, S.; Romieu, I.",2002,Public Health Nutr,5,6A,931-937,12633518,10.1079/PHN2002381,Observation,21,28,20,0,3,0,0
138,Validation of a semiquantitative food frequency questionnaire to assess folate status. Results discriminate a high-risk group of women residing on the Mexico-US border,Bacardi-Gascon,"Bacardi-Gascon, M.; Ley y de Gongora, S.; Castro-Vazquez, B. Y.; Jimenez-Cruz, A.",2003,Arch Med Res,34,4,325-330,12957531,10.1016/S0188-4409(03)00043-2,Observation,1,5,2,0,1,0,0
139,Development and validation of a brief food frequency questionnaire for dietary lutein and zeaxanthin intake assessment in Italian women,Cena,"Cena, H.; Roggi, C.; Turconi, G.",2008,Eur J Nutr,47,1,1-9,18165856,10.1007/s00394-007-0689-0,Observation,1,4,1,0,3,0,0
140,Validation of a short food frequency questionnaire to assess folate intake,Pufulete,"Pufulete, M.; Emery, P. W.; Nelson, M.; Sanders, T. A.",2002,Br J Nutr,87,4,383-390,12064348,10.1079/BJNBJN2002518,Observation,1,6,0,0,36,0,0
141,Folate intake assessment: validation of a new approach,Yen,"Yen, J.; Zoumas-Morse, C.; Pakiz, B.; Rock, C. L.",2003,J Am Diet Assoc,103,8,991-1000; discussion 1000,12891147,10.1053/jada.2003.50191,Observation,2,4,2,0,4,0,0
142,Dietary conjugated linoleic acid (CLA) intake assessment and possible biomarkers of CLA intake in young women,Fremann,"Fremann, D.; Linseisen, J.; Wolfram, G.",2002,Public Health Nutr,5,1,73-80,12001981,10.1079/PHN2001238,Observation,12,8,22,0,6,0,0
143,Individual carotenoid concentrations in adipose tissue and plasma as biomarkers of dietary intake,El-Sohemy,"El-Sohemy, A.; Baylin, A.; Kabagambe, E.; Ascherio, A.; Spiegelman, D.; Campos, H.",2002,Am J Clin Nutr,76,1,172-179,12081831,,Observation,5,12,20,0,20,0,0
144,Application of the method of triads to evaluate the performance of food frequency questionnaires and biomarkers as indicators of long-term dietary intake,Kabagambe,"Kabagambe, E. K.; Baylin, A.; Allan, D. A.; Siles, X.; Spiegelman, D.; Campos, H.",2001,Am J Epidemiol,154,12,1126-1135,11744518,,Observation,15,104,0,0,84,0,0
145,Accuracy of quantity-frequency and graduated frequency questionnaires in measuring alcohol intake: comparison with daily diary and commonly used laboratory markers,Poikolainen,"Poikolainen, K.; Podkletnova, I.; Alho, H.",2002,Alcohol Alcohol,37,6,573-576,12414549,,Observation,4,5,4,0,20,0,0
146,Serum carotenoids as biomarkers of fruit and vegetable consumption in the New York Women's Health Study,van Kappel,"van Kappel, A. L.; Steghens, J. P.; Zeleniuch-Jacquotte, A.; Chajes, V.; Toniolo, P.; Riboli, E.",2001,Public Health Nutr,4,3,829-835,11415491,,Observation,6,0,0,6,28,0,0
147,Very-long-chain omega-3 fatty acids as markers for habitual fish intake in a population consuming mainly lean fish: the EPIC cohort of Gipuzkoa,Amiano,"Amiano, P.; Dorronsoro, M.; de Renobales, M.; Ruiz de Gordoa, J. C.; Irigoien, I.",2001,Eur J Clin Nutr,55,10,827-832,11593343,10.1038/sj.ejcn.1601242,Observation,4,52,36,0,9,0,0
148,Which plasma antioxidants are most related to fruit and vegetable consumption?,Block,"Block, G.; Norkus, E.; Hudes, M.; Mandel, S.; Helzlsouer, K.",2001,Am J Epidemiol,154,12,1113-1118,11744516,,Observation,6,1,6,0,77,0,0
149,"Comparing biological measurements of vitamin C, folate, alpha-tocopherol and carotene with 24-hour dietary recall information in nonhispanic blacks and whites",Knutsen,"Knutsen, S. F.; Fraser, G. E.; Linsted, K. D.; Beeson, W. L.; Shavlik, D. J.",2001,Ann Epidemiol,11,6,406-416,11454500,,Observation,4,48,24,0,72,0,0
150,Dietary assessment in Whitehall II: comparison of 7 d diet diary and food-frequency questionnaire and validity against biomarkers,Brunner,"Brunner, E.; Stallone, D.; Juneja, M.; Bingham, S.; Marmot, M.",2001,Br J Nutr,86,3,405-414,11570993,,Observation,7,104,0,0,120,0,0
151,"Site-specific differences in the fatty acid composition of abdominal adipose tissue in an obese population from a Mediterranean area: relation with dietary fatty acids, plasma lipid profile, serum insulin, and central obesity",Garaulet,"Garaulet, M.; Perez-Llamas, F.; Perez-Ayala, M.; Martinez, P.; de Medina, F. S.; Tebar, F. J.; Zamora, S.",2001,Am J Clin Nutr,74,5,585-591,11684525,,Observation,26,16,75,0,9,0,0
152,Use of biological markers to validate self-reported dietary intake in a random sample of the European Prospective Investigation into Cancer United Kingdom Norfolk cohort,McKeown,"McKeown, N. M.; Day, N. E.; Welch, A. A.; Runswick, S. A.; Luben, R. N.; Mulligan, A. A.; McTaggart, A.; Bingham, S. A.",2001,Am J Clin Nutr,74,2,188-196,11470719,,Observation,4,70,10,0,75,0,0
153,Assessment of alcohol consumption by mailed questionnaire in epidemiological studies: Evaluation of misclassification using a dietary history interview and biochemical markers,Carlsson,"Carlsson, S.; Hammar, N.; Hakala, P.; Kaprio, J.; Marniemi, J.; Ronnemaa, T.",2003,Eur J Epidemiol,18,6,493-501,12908714,,Observation,2,6,16,0,4,0,0
154,Population-based study of alpha- and gamma-tocopherol in plasma and adipose tissue as biomarkers of intake in Costa Rican adults,El-Sohemy,"El-Sohemy, A.; Baylin, A.; Ascherio, A.; Kabagambe, E.; Spiegelman, D.; Campos, H.",2001,Am J Clin Nutr,74,3,356-363,11522560,,Observation,2,10,16,0,16,0,0
155,Single measurement of serum phospholipid fatty acid as a biomarker of specific fatty acid intake in middle-aged Japanese men,Kobayashi,"Kobayashi, M.; Sasaki, S.; Kawabata, T.; Hasegawa, K.; Akabane, M.; Tsugane, S.",2001,Eur J Clin Nutr,55,8,643-650,11477462,10.1038/sj.ejcn.1601194,Observation,15,30,42,14,84,0,0
156,Dietary determinants of plasma enterolactone,Horner,"Horner, N. K.; Kristal, A. R.; Prunty, J.; Skor, H. E.; Potter, J. D.; Lampe, J. W.",2002,Cancer Epidemiol Biomarkers Prev,11,1,121-126,11815409,,Observation,1,0,1,0,36,0,0
157,"Comparison of self-reported alcohol intake with the urinary excretion of 5-hydroxytryptophol:5-hydroxyindole-3-acetic acid, a biomarker of recent alcohol intake",Kroke,"Kroke, A.; Klipstein-Grobusch, K.; Hoffmann, K.; Terbeck, I.; Boeing, H.; Helander, A.",2001,Br J Nutr,85,5,621-627,11348578,,Observation,1,6,3,0,1,0,0
158,Fatty acid composition of adipose tissue and serum lipids are valid biological markers of dairy fat intake in men,Wolk,"Wolk, A.; Furuheim, M.; Vessby, B.",2001,J Nutr,131,3,828-833,11238766,,Observation,5,24,9,0,168,0,0
159,Evaluation of a semi-quantitative food frequency questionnaire to estimate iodine intake,Rasmussen,"Rasmussen, L. B.; Ovesen, L.; Bulow, I.; Jorgensen, T.; Knudsen, N.; Laurberg, P.; Perrild, H.",2001,Eur J Clin Nutr,55,4,287-292,11360133,10.1038/sj.ejcn.1601156,Observation,1,9,6,0,4,0,0
